t (min),s (m)
1.0,-0.0019459338686082374
2.05,0.008755688904103864
3.1525,0.0336594827960061
4.310124999999999,0.03167050126296417
5.525631250000001,0.04750812606294353
6.801912812500001,0.055739928695837694
8.142008453125001,0.057796955842324665
9.549108875781252,0.07578310596445854
11.026564319570316,0.07366798117856742
12.57789253554883,0.08517910781631009
14.206787162326275,0.09075109372074945
15.917126520442588,0.09789202257195238
17.71298284646472,0.10355079857564443
19.598631988787957,0.11502148706337935
21.57856358822736,0.12188562442413568
23.65749176763872,0.1272435301497117
25.84036635602066,0.12621349836115564
28.132384673821697,0.13642177510881628
30.53900390751278,0.1380895662946443
33.065954102888426,0.14530452985228584
35.71925180803285,0.1542310839706364
38.5052143984345,0.15823038699971906
41.43047511835621,0.1675688217375494
44.50199887427404,0.16787228085525213
47.72709881798774,0.17505740589262206
51.113453758887125,0.1710109232641066
54.669126446831484,0.18764964392720568
58.40258276917305,0.19006044383856516
62.32271190763171,0.19423780982283007
66.43884750301332,0.195486327347185
70.76078987816398,0.20004820526798847
75.29882937207218,0.20551908074052266
80.06377084067579,0.21135770750555585
85.06695938270957,0.20965556190363635
90.32030735184505,0.21325483353668526
95.83632271943732,0.2247909032275404
101.62813885540919,0.2268946479914841
107.70954579817966,0.22569223143289346
114.09502308808867,0.23133574958923836
120.7997742424931,0.24314634804271415
127.83976295461773,0.24310263927768128
135.23175110234862,0.24796107421988625
142.99333865746607,0.2494433929131344
151.14300559033938,0.25104272423060087
159.70015586985636,0.26364343213696023
168.6851636633492,0.27019252778780123
178.11942184651664,0.26685876546111525
188.0253929388425,0.2717721318808224
198.42666258578464,0.2852855910664933
209.3479957150739,0.2859430005930818
220.81539550082758,0.28631520261897553
232.85616527586893,0.2875722673987237
245.49897353966247,0.29016296286173326
258.77392221664553,0.2940033374076275
272.71261832747774,0.30305338347134175
287.3482492438516,0.31138618936916995
302.7156617060442,0.30522983736318393
318.8514447913465,0.3154712741908682
335.79401703091384,0.3171662448724148
353.5837178824596,0.3203914077324232
372.2629037765826,0.3263687009649383
391.87604896541177,0.3313236242829329
412.46985141368236,0.33158627387325507
434.09334398436647,0.33772158378742423
456.7980111835848,0.341202438837249
480.63791174276406,0.3436435440826283
505.66980732990226,0.3419875170051584
531.9532976963975,0.34002525811591855
559.5509625812174,0.35276379425164217
588.5285107102784,0.3520245028991184
618.9549362457922,0.35979225422784067
650.9026830580818,0.3675098985283068
684.4478172109859,0.36838691086255554
719.6702080715353,0.3699583556234922
756.6537184751121,0.3730428232261621
795.4864043988676,0.38161841203519126
836.2607246188112,0.37922746260568996
879.0737608497519,0.3829708112059776
924.0274488922395,0.38786918089413885
971.2288213368514,0.3920278791598067
1020.790262403694,0.39766401093567794
1072.8297755238789,0.4004112022483913
1127.471264300073,0.40938557046947094
1184.8448275150765,0.4115152697849365
1245.0870688908303,0.4102344725059846
1308.3414223353718,0.4176866883504601
1374.7584934521406,0.4244502256012285
1444.4964181247476,0.41993877871942953
1517.721239030985,0.42230511661959386
1594.607300982534,0.43286378557883187
1675.3376660316608,0.43286342995303345
1760.1045493332444,0.44167142885465943
1849.1097767999065,0.44324632619375487
1942.5652656399025,0.4507263447161852
2040.6935289218975,0.4473964009048293
2143.7282053679924,0.45802222741661464
2251.914615636392,0.45575265858567826
2365.510346418212,0.4603736044088157
2484.7858637391228,0.45921296599209604
2610.025156926079,0.46708078147247495
